"sample_id","true_label","k=3","k=4","k=5","k=6","k=7"
"F268","LumA","2","2","3","3","7"
"F269","LumA","3","4","5","5","5"
"F270","LumA","2","2","3","3","7"
"F271","LumA","3","4","5","5","5"
"F272","Normal","3","3","4","4","4"
"F273","LumA","2","2","2","2","2"
"F274","LumA","3","4","5","5","5"
"F275","Her2","3","3","4","4","4"
"F276","LumB","2","2","2","2","2"
"F277","LumB","2","2","2","2","2"
"F278","LumA","3","4","5","5","5"
"F279","LumA","2","2","2","2","2"
"F280","LumB","2","2","2","2","2"
"F281","LumA","2","2","2","2","2"
"F282","LumA","2","2","3","3","7"
"F283","LumA","2","2","2","2","2"
"F284","Normal","2","2","2","2","2"
"F285","LumB","2","2","3","3","3"
"F286","Basal","1","1","1","1","1"
"F287","LumA","2","2","2","2","2"
"F288","Basal","1","1","1","1","1"
"F289","Her2","2","2","2","2","2"
"F290","LumB","2","2","2","2","2"
"F291","LumA","2","2","2","2","2"
"F292","LumA","2","2","2","2","2"
"F293","LumA","3","4","5","5","5"
"F294","LumA","3","4","5","5","5"
"F295","LumA","2","2","2","2","2"
"F296","LumA","2","2","3","3","7"
"F297","LumA","3","4","5","5","5"
"F298","LumB","2","2","2","2","2"
"F299","LumA","3","3","4","4","4"
"F300","LumA","2","2","3","3","7"
"F301","LumA","2","2","3","3","7"
"F302","Basal","1","1","1","1","1"
"F303","LumB","2","2","2","2","2"
"F304","Her2","3","3","4","6","6"
"F305","LumA","2","2","2","2","2"
"F306","LumB","3","3","4","4","4"
"F307","LumA","2","2","2","2","2"
"F308","LumA","2","2","3","3","7"
"F309","LumA","2","2","2","2","2"
"F310","LumA","2","2","2","2","2"
"F311","LumA","3","4","5","5","5"
"F312","LumA","3","4","5","5","5"
"F313","LumA","3","4","5","5","5"
"F314","LumB","2","2","3","3","7"
"F315","LumA","2","2","2","2","2"
"F316","LumA","3","4","5","5","5"
"F317","LumA","2","2","2","2","2"
"F318","Basal","1","1","1","1","1"
"F319","Normal","3","4","5","5","5"
"F320","LumB","2","2","2","2","2"
"F321","LumA","2","2","2","2","2"
"F322","LumB","2","2","3","3","3"
"F323","LumB","2","2","2","2","2"
"F324","LumB","2","2","2","2","2"
"F325","LumB","2","2","3","3","3"
